Method,N_Bands,OA,AA,Kappa,Selected_Bands
PCA Loadings,12,0.8985,0.904,0.89,"[0, 11, 30, 32, 46, 90, 111, 115, 141, 142, 143, 144]"
Mutual Information,12,0.7764,0.7864,0.7579,"[84, 86, 87, 88, 91, 92, 93, 95, 96, 100, 103, 105]"
K-Means Clustering,12,0.9446,0.9519,0.94,"[5, 13, 20, 27, 35, 57, 71, 83, 103, 121, 127, 143]"
Laplacian Score,12,0.8646,0.8773,0.8534,"[69, 70, 71, 72, 91, 93, 95, 97, 99, 100, 101, 103]"
Genetic Algorithm,12,0.9713,0.9744,0.9689,"[5, 6, 25, 26, 31, 39, 57, 66, 83, 118, 121, 125]"
QPSO,12,0.9754,0.9779,0.9733,"[4, 18, 26, 30, 31, 32, 55, 73, 76, 86, 95, 119]"
Quantum Amplitude (Qiskit),12,0.9046,0.9177,0.8967,"[15, 43, 47, 51, 60, 61, 63, 124, 125, 127, 138, 142]"
