Method,N_Bands,OA,AA,Kappa,Selected_Bands
PCA Loadings,6,0.8226,0.8295,0.8077,"[0, 11, 32, 90, 143, 144]"
Mutual Information,6,0.7374,0.7483,0.7158,"[84, 88, 91, 92, 100, 105]"
K-Means Clustering,6,0.9251,0.9339,0.9189,"[14, 39, 57, 71, 105, 133]"
Laplacian Score,6,0.8585,0.8698,0.8467,"[71, 91, 97, 99, 101, 103]"
Genetic Algorithm,6,0.9487,0.9537,0.9445,"[6, 25, 27, 32, 41, 99]"
QPSO,6,0.9528,0.9579,0.9489,"[26, 31, 36, 39, 70, 86]"
Quantum Amplitude (Qiskit),6,0.8236,0.8392,0.8091,"[47, 60, 61, 63, 125, 127]"
