Model,Band_Selection,N_Bands,OA,AA,Kappa
Random Forest,PCA Loadings,6,0.8154,0.8254,0.8
Random Forest,Mutual Information,6,0.6985,0.7098,0.6734
Random Forest,K-Means,6,0.8995,0.9115,0.8911
Random Forest,Laplacian Score,6,0.8277,0.8388,0.8134
Random Forest,Genetic Algorithm,6,0.919,0.9285,0.9123
Random Forest,QPSO,6,0.919,0.9292,0.9123
Random Forest,Quantum (Qiskit),6,0.8072,0.8204,0.7913
