Method,N_Bands,Selected_Bands
PCA Loadings,8,"[0, 11, 30, 32, 90, 115, 143, 144]"
Mutual Information,8,"[84, 88, 91, 92, 93, 100, 103, 105]"
K-Means,8,"[5, 16, 26, 35, 57, 71, 105, 133]"
Laplacian Score,8,"[70, 71, 91, 97, 99, 100, 101, 103]"
Genetic Algorithm,8,"[15, 25, 31, 76, 108, 109, 118, 120]"
QPSO,8,"[5, 25, 31, 37, 44, 70, 79, 86]"
Quantum,8,"[47, 60, 61, 63, 124, 125, 127, 142]"
