Method,N_Bands,Selected_Bands
PCA Loadings,10,"[0, 11, 30, 32, 90, 115, 141, 142, 143, 144]"
Mutual Information,10,"[84, 87, 88, 91, 92, 93, 95, 100, 103, 105]"
K-Means,10,"[5, 16, 26, 35, 57, 71, 83, 103, 133, 143]"
Laplacian Score,10,"[69, 70, 71, 91, 93, 97, 99, 100, 101, 103]"
Genetic Algorithm,10,"[5, 6, 25, 26, 32, 58, 66, 102, 133, 141]"
QPSO,10,"[4, 25, 27, 31, 32, 44, 68, 72, 76, 131]"
Quantum,10,"[15, 43, 47, 60, 61, 63, 125, 127, 138, 142]"
